Milk,Bread,Butter,Egg,Cheese,Apple,Banana,Juice,Coffee,Tea,Rice,Pasta,Chicken,Beef,Fish,Bacon
1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0
1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1
1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1
1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0
1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1
0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1
1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1
1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0
1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1
1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0
1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1
1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1
1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
